"","title","text","star","page","doc_id"
"1","I love these","I only brought these for travel as in-ear buds only last a certain amount of time and wanted something that would at least last a good long haul flight.Price on these are great and sound is perfect.The battery? Wow that surprisingly blew me away, I recently took a long flight from London to LA with a divert via Dublin.I put these on the moment I left home and never switched them off till I landed in LA and the battery was at a mere 70% remaining! That is impressive and unexpected.The only negatives I have:No case to store themThe buttons are hard to navigate when on your head, you get used to it, but after using buds you forgot there is no touch and taps, this could also be a positive as there is no accidental taps.The app is a little clunky.Overall, 4 stars, well worth it.","4.0 out of 5 stars",1,1
"2","Sony have done a cracking job on these Heaphones","First of all, the packaging was all recyclable, can tell Sony had made an effort here not to use any plastic in their packaging and it was smartly put together.When you get to your Sony WH-CH520 Wireless Bluetooth Headphones, they look amazing, that's regarding their build quality and feel. I personally think they are nicely weighted and are very comfortable. I've been wearing them constantly and you forget you have them on and I personally don't mind that they fit on my ears as oppose to over (Over is £50 dearer).Connecting the headphones to my phone, even as someone who loves tech this is the 50/50 as it wasn't as user-friendly as i'd hoped. I must praise the initial set up, downloading the Sony Headphones app all easy and I before I go onto the negatives, it is possible to just connect and play with without registration etc. that alone would be fine for most people.However, if you take a moment, to sync, play around with Equalisers etc and 'optimise apps' to get the best experience from the headphones, you find yourself taking pictures of your ears and bouncing from the 360 Reality Audio Setup and now I have an app sitting on my phone for until the free trial ends.After this initial set up as been done, the bluetooth is pretty seamless and I have not experienced any drop out. The sound quality is very good even in neutral mode and I've been impressed by this. Maybe the volume isn't as loud as I'd want, but it'd would be loud enough for most people. And connecting up to multiple devices and swapping between them is brilliant.I do think that noise cancellation isn't that bad, stated on the order page this doesn't exist on this model. However, it does a good job of drowning out noise. The microphone is also quite good at focusing on my voice, so I'm happy. it does the job for me in this respect. Noise does escape the pods, so if I wanted to listen to these at full blast, anyone sat next to me would know what I'm listening to. But again, these are fitted on the ear.The battery life is where I'm most amazed and impressed by. 50 hours is incredible really and they actually do last, SONY deserve a massive pat on the back for this.Overall, A brilliant set of headphones for £50 at time of writing.","5.0 out of 5 stars",1,2
"3","SONY BLUETOOTH 🎧 set - charging cable RIDICULOUSLY SHORT","Friday 7th April 2023The SOUND on these 🎧 is really good 👌👍 & they CONNECTED really easy compared to OTHER bluetooth 🎧 so I'm very pleased with them - apart from the usb cable that's used to charge them - looks like I'm gonna have to use a EXTERNAL BATTERY BANK/PACK (again due to how STUPIDLY SHORT it is) & cos it takes 3 hours to fully charge them.April 6th 2023I haven't actually tried to USE these yet as I've only received them today & the PACKAGING was RIDICULOUSLY DIFFICULT to OPEN - I am ♿️ & have DEXTERITY 🫱🫲 issues, the Amazon box was difficult enough to open but the packaging for the 🎧 was like FORT KNOX!!! I understand that Sony just want to keep things SAFE (I'm not knocking that), but the box was very TIGHT & TAPING made things difficult to open also, I just 🙏 that I don't have to send them back for whatever reason cos I'll NEVER be able to REPACKAGE them back into the box they came in. The USB charging cable is RIDICULOUSLY SHORT making it VERY difficult to CONNECT the charger, it also makes it even MORE DIFFICULT to 👀 WHEN the 🎧 are fully CHARGED as there is NOTHING in the PRODUCT INFO to say how LONG to charge them for, the ORANGE/CHARGING LIGHT is very difficult to see due to the cable length (LACK OF), I'm ASSUMING that once the light has gone from 🟠 to 🟢 or OFF ALTOGETHER then they're fully charged but with NO INFORMATION as to how LONG that should take, I could very easily OVERCHARGE them as I can BARELY 👀 the light indicator - this is where a LONGER USB/CHARGING cable would be VERY USEFUL, as well as SOME INDICATION of length of TIME to leave them charging for. I understand that ONCE FULLY CHARGED they'll last for APPROXIMATELY 50 HOURS which is brilliant if that is TRULY the case, I SINCERELY HOPE that AMAZON or BETTER STILL SONY 👀 at this review & take my comments into consideration. Life is DIFFICULT ENOUGH for ♿️ bods without making it HARDER.","4.0 out of 5 stars",1,3
"4","Uncomfortable and significant lag","I bought these headphones to use with my laptop at home. I wanted something I could use to watch videos, game, and to stream audiobooks/music while doing jobs around the house. These headphones had great reviews, but unfortunately weren't for me and have been returned.PROS:* The sound quality is great. I'm certainly no audiophile and had been using a pair of very basic falling-apart wired earphones held together by tape immediately before buying these. However, they seemed crisp and clear, whether for videos or music.* They look really nice for the price. They feel well-made and don't look like a budget option.CONS:* There is a significant lag when watching videos. I've had quite a few wireless headphones and earbuds over the years and never experienced lag as bad as this. I tried restarting them, disconnecting and reconnecting, resetting to factory settings. Nothing helped. Much cheaper wireless earbuds bought the same day had a barely noticeable lag. Ultimately, this made the headphones unusable for me, as it was just too distracting trying to watch a TV show with this degree of lag.* I have a small head and they still felt very tight against my ears. After just a few minutes, they made my ears feel sore. I do have quite prominent cartilage in my ears and have had issues when wearing headphones for long periods in the past, but usually after hours rather than minutes. There's quite a bit of padding around the edge, but my ears were still jammed hard against the middle unpadded part. Again, headphones that I can't wear for more than a few minutes are unusable headphones for me.* To be sure when you have turned the headphones on or off or changed settings, you need to have the headphones on so that you can hear the responses. However, the buttons aren't very ergonomic and I struggled to know if I was feeling the right one without taking the headphones off and looking. This might improve with longer use, but could easily have been avoided by making the buttons a little more prominent, or utilising taps like most other modern headphones.Ultimately, these could still be a great choice if you want headphones primarily for listening to music or audio-books and you have nice flat ears. But they aren't really suitable for watching videos/gaming unless you can tolerate a lot of lag, and they are horrible to wear if you have delicate ears like mine!","3.0 out of 5 stars",1,4
"5","very good","i got these because my new phone doesnt have a headphone jack and i needed headphones. its very worth it for the price, when i got them they were £49 i think, around £60 before(??)but it was on offer. these are great starter headphones like if you dont wanna spend a huge amount i would recommend these. i dont know if this is the same for other phone models, but my phone recommended that i download a sony headphones app for more info and it also tells you what youre listening to which in my opinion is kinda useless. i only wanted to check the percentage which was shown in app, but my phone was able to show me via a widget. if your phone doesnt have that feature i dont know how else you would check the percentage but the app isnt that worth it other than some 360 sound activation (i didnt get it). the headphones came at 70% and its stayed like that for hours, the percentage is amazing!! they are a little snug but you can just adjust it also. the obviously dont noise cancel everything and im fine with that. the charging wire is a little short but its basically just a huawei/sony charger type so if you have a longer wire i feel like that would work (haven’t charged them yet cause still 70%hehe) they came earlier than expected as well i was shocked. overall they are good i like them","4.0 out of 5 stars",1,5
"6","Satisfied","I was looking for budget headphones with good sound quality and battery life and these do not fall short of that. I was especially worried the beige headphones were out of stock because i couldn't find them available anywhere, so i took a chance with amazon and they came 2 weeks later! 😁So far its perfect, not much noise cancellation as its an on-ear type but thats not a problem for me. Its comfy, it doesn't compress my head and i could wear them all day.I use an android phone and it pairs well, no problem with connectivity throughout the day, Not sure if there's a big difference with an apple device. You can download the headphone app in playstore, although i dont see the need unless one wants to adjust the equalizer or set up multi-pairing. I can view battery status in bluetooth connections on my phone already and add it to smart things to find its location, well its always on me anyway.Everything else is fine, the buttons work well, it comes with a usb-c cable and charges fine. Very satisfied with this purchase 👍🏽","5.0 out of 5 stars",1,6
"7","Excellent wireless headphones","These headphones are over-ear, so not for everyone, but they are so light that I don't have any feeling of discomfort even after hours of constant use. The battery life is phenomenal, much better than my previous headphones. The sound is pretty good, especially if you crank them up in volume. Make sure to install the app and activate the DSEE setting (upscales low quality recordings). Just be aware that the headphones will not pair with all devices, cannot get them to pair with a Samsung tablet (Galaxy Tab A running blutooth 4.2), but they are fine for use with the tv or my phone. Highly recommended.","5.0 out of 5 stars",1,7
"8","Excellent battery life! Sound is quality","I took a chance on these wireless headphones. I don't generally trust the battery life on these things. Nor trust myself to remember to recharge them. The battery life lasts FOR AGES AND AGES.Battery was at 100% the day they arrived. They was over 2 weeks ago. I used them at least 10 hours in total. Not needed recharged yet. Also the device tells you how much percentage is left when you connect them.They are comfy to wear and easy to store.I had wired headphones for a long time because I didn't trust myself to remember to recharge every time I go on the bus. These are ideal! Very happy customer 😀Also the sound is perfect! 👌 Hardly any sound leakage which is something i cant stand as a passenger on public transport. Hearing someone elses music when they have headphones on...i don't want to be that annoying to others. Haha!I can also take calls without taking my headphones off or pressing anything on my mobile phone device.","5.0 out of 5 stars",1,8
"9","very good","P.S. before anyone tries to ask, these head phones aren’t noise cancelling, they only slightly muffle sound bc you obviously have something over your ears.the headphone colour is so pretty! i’m pretty sure that the headphones come at least partially charged. i’ve been using them for abt 8 1/2 - 9 hours & they’re still at 100%. the sound is nice & clear & way louder than my previous headphones. i turned them all the way up & i almost went dead so you don’t really need them to be so loud. to my knowledge, there are no sound leaks. there are buttons on the right side to help control the headphones which are all dual function(closest to the back to turn volume up/hold for 3s for the next track, middle to pause/hold for 3s to bluetooth connect & the end to turn volume down/hold for 3s for the previous track). i don’t know if they’re good for sleep yet so i’ll report back in a few hours with my findings but very good so far.","5.0 out of 5 stars",1,9
"10","Minor Upgrade from 510","Hi,Not an expert with headphones. I've had both the 510 and 520. The 520 is noticeably a little nicer than the previous model from Sony. The padding is a little softer and looks fractionally more premium, at least to me. I've knocked off 1 star however, the price is similarly quite a bit higher than what the 510 used to retail for.","4.0 out of 5 stars",1,10
